"id","professional","helpful","positive","efficient","skilful","trustworthy","kind","confident","sincere","intelligent","fair","hardworking","sender_gender","appropriateness","gender","age","education","emoji_usage","culture","formality","emoji","study"
1,2,4,4,3,3,3,4,4,4,2,3,3,"male",3,"female",22,"secondary school",3,"danish",0,"face_emoji","study1"
45,4,4,5,4,4,4,5,5,4,4,3,4,"male",3,"male",23,"secondary school",4,"danish",0,"face_emoji","study1"
55,2,4,5,2,2,3,4,3,3,2,4,3,"male",3,"female",23,"bachelor",4,"danish",0,"face_emoji","study1"
58,2,4,5,2,3,3,5,4,4,3,4,2,"male",3,"female",24,"secondary school",5,"danish",0,"face_emoji","study1"
62,4,4,4,3,3,3,4,3,4,3,3,2,"male",3,"female",26,"bachelor",4,"danish",0,"face_emoji","study1"
77,3,4,5,4,4,4,5,5,4,4,5,3,"male",4,"female",23,"secondary school",2,"danish",0,"face_emoji","study1"
81,4,5,5,4,4,4,5,5,5,4,3,3,"male",4,"male",25,"secondary school",3,"danish",0,"face_emoji","study1"
91,3,5,5,5,4,3,5,3,4,2,3,3,"male",3,"female",22,"secondary school",4,"danish",0,"face_emoji","study1"
92,2,4,4,3,3,4,4,4,3,3,3,3,"male",3,"female",24,"master",4,"danish",0,"face_emoji","study1"
96,2,4,4,4,1,3,5,4,4,2,4,4,"male",3,"female",22,"secondary school",2,"danish",0,"face_emoji","study1"
101,2,5,4,3,3,2,4,4,3,3,3,3,"male",3,"female",20,"secondary school",3,"danish",0,"face_emoji","study1"
110,3,4,5,4,3,4,4,4,5,3,4,4,"male",4,"male",25,"secondary school",5,"danish",0,"face_emoji","study1"
112,3,3,4,4,4,4,4,3,4,4,4,3,"male",3,"female",22,"secondary school",5,"danish",0,"face_emoji","study1"
118,1,4,3,2,2,2,3,4,3,2,3,2,"male",2,"other",23,"secondary school",2,"danish",0,"face_emoji","study1"
119,1,4,5,4,3,3,5,3,4,3,3,3,"male",2,"male",30,"bachelor",3,"danish",0,"face_emoji","study1"
137,2,4,4,3,3,4,4,3,4,2,2,2,"male",2,"female",24,"secondary school",4,"danish",0,"face_emoji","study1"
142,2,4,5,5,3,3,4,4,4,3,3,3,"male",4,"male",24,"secondary school",2,"danish",0,"face_emoji","study1"
157,3,3,4,3,2,2,4,4,4,3,3,2,"male",3,"male",45,"PhD",3,"danish",0,"face_emoji","study1"
1,3,3,4,4,3,3,4,3,3,3,3,3,"male",3,"female",22,"secondary school",3,"danish",1,"face_emoji","study1"
45,4,4,4,4,4,4,4,4,4,4,3,4,"male",3,"male",23,"secondary school",4,"danish",1,"face_emoji","study1"
55,4,4,5,3,4,4,5,4,3,4,4,4,"female",4,"female",23,"bachelor",4,"danish",1,"face_emoji","study1"
58,4,5,5,4,4,4,5,4,4,4,4,5,"female",4,"female",24,"secondary school",5,"danish",1,"face_emoji","study1"
62,4,3,3,4,3,4,3,3,4,3,3,2,"male",3,"female",26,"bachelor",4,"danish",1,"face_emoji","study1"
77,5,5,5,5,5,5,5,5,5,5,5,5,"male",5,"female",23,"secondary school",2,"danish",1,"face_emoji","study1"
81,5,5,5,3,5,5,5,5,5,5,3,3,"male",5,"male",25,"secondary school",3,"danish",1,"face_emoji","study1"
91,4,5,5,4,4,4,5,5,5,5,3,3,"female",5,"female",22,"secondary school",4,"danish",1,"face_emoji","study1"
92,5,4,4,4,4,4,4,4,4,4,3,4,"male",5,"female",24,"master",4,"danish",1,"face_emoji","study1"
96,4,4,4,3,5,5,4,4,3,5,4,5,"male",4,"female",22,"secondary school",2,"danish",1,"face_emoji","study1"
101,5,4,4,4,5,4,4,3,3,4,3,3,"female",5,"female",20,"secondary school",3,"danish",1,"face_emoji","study1"
110,5,5,5,5,5,5,5,4,4,5,5,5,"male",5,"male",25,"secondary school",5,"danish",1,"face_emoji","study1"
112,5,4,3,4,4,4,4,4,4,4,4,4,"male",4,"female",22,"secondary school",5,"danish",1,"face_emoji","study1"
118,5,4,4,4,5,4,3,4,4,5,4,4,"female",3,"other",23,"secondary school",2,"danish",1,"face_emoji","study1"
119,2,4,4,2,2,1,4,2,2,3,3,3,"male",1,"male",30,"bachelor",3,"danish",1,"face_emoji","study1"
137,2,4,3,4,4,4,3,3,4,3,3,3,"male",3,"female",24,"secondary school",4,"danish",1,"face_emoji","study1"
142,5,4,4,4,4,4,3,4,3,5,3,3,"male",5,"male",24,"secondary school",2,"danish",1,"face_emoji","study1"
157,4,4,4,4,3,4,4,4,3,3,3,3,"male",4,"male",45,"PhD",3,"danish",1,"face_emoji","study1"
4,2,5,5,4,3,4,5,5,4,3,4,3,"female",3,"male",22,"secondary school",4,"hungarian",0,"face_emoji","study1"
14,1,3,5,4,1,3,4,4,5,1,3,3,"female",1,"female",22,"secondary school",3,"hungarian",0,"face_emoji","study1"
