"id","professional","helpful","positive","efficient","skilful","trustworthy","kind","confident","sincere","intelligent","fair","hardworking","sender_gender","appropriateness","gender","age","education","emoji_usage","culture","formality","emoji","study","competence","warmness"
1,2,4,4,3,3,3,4,4,4,2,3,3,"male",3,"female",22,"secondary school",3,"danish",0,"face_emoji","study1",-0.852462408912542,0.233635802486657
45,4,4,5,4,4,4,5,5,4,4,3,4,"male",3,"male",23,"secondary school",4,"danish",0,"face_emoji","study1",0.382019867815799,0.732111872436998
55,2,4,5,2,2,3,4,3,3,2,4,3,"male",3,"female",23,"bachelor",4,"danish",0,"face_emoji","study1",-1.27336197080705,0.486277215456641
58,2,4,5,2,3,3,5,4,4,3,4,2,"male",3,"female",24,"secondary school",5,"danish",0,"face_emoji","study1",-1.01116344931782,1.00307316322506
62,4,4,4,3,3,3,4,3,4,3,3,2,"male",3,"female",26,"bachelor",4,"danish",0,"face_emoji","study1",-0.521655112040718,-0.194990255317138
77,3,4,5,4,4,4,5,5,4,4,5,3,"male",4,"female",23,"secondary school",2,"danish",0,"face_emoji","study1",0.242793920309823,1.07295793362627
81,4,5,5,4,4,4,5,5,5,4,3,3,"male",4,"male",25,"secondary school",3,"danish",0,"face_emoji","study1",0.3133817290637,1.1074185795218
91,3,5,5,5,4,3,5,3,4,2,3,3,"male",3,"female",22,"secondary school",4,"danish",0,"face_emoji","study1",-0.450422534348926,1.00703688233295
92,2,4,4,3,3,4,4,4,3,3,3,3,"male",3,"female",24,"master",4,"danish",0,"face_emoji","study1",-0.547789073885888,-0.0209296647143898
96,2,4,4,4,1,3,5,4,4,2,4,4,"male",3,"female",22,"secondary school",2,"danish",0,"face_emoji","study1",-0.930672329598838,0.868119764342577
101,2,5,4,3,3,2,4,4,3,3,3,3,"male",3,"female",20,"secondary school",3,"danish",0,"face_emoji","study1",-0.795342231394515,0.14934532230183
110,3,4,5,4,3,4,4,4,5,3,4,4,"male",4,"male",25,"secondary school",5,"danish",0,"face_emoji","study1",-0.0751694198996265,0.859970028981308
112,3,3,4,4,4,4,4,3,4,4,4,3,"male",3,"female",22,"secondary school",5,"danish",0,"face_emoji","study1",0.0747626261517449,-0.137067314705081
118,1,4,3,2,2,2,3,4,3,2,3,2,"male",2,"other",23,"secondary school",2,"danish",0,"face_emoji","study1",-1.44827282412955,-0.679472813280768
119,1,4,5,4,3,3,5,3,4,3,3,3,"male",2,"male",30,"bachelor",3,"danish",0,"face_emoji","study1",-0.983877189576935,1.00906474646875
137,2,4,4,3,3,4,4,3,4,2,2,2,"male",2,"female",24,"secondary school",4,"danish",0,"face_emoji","study1",-1.01151952870514,0.00568122807423654
142,2,4,5,5,3,3,4,4,4,3,3,3,"male",4,"male",24,"secondary school",2,"danish",0,"face_emoji","study1",-0.454845495489588,0.542676394073911
