"Timestamp","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig) . [Afsenderen er professionel.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig) . [Afsenderen er hjælpsom.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig) . [Afsenderen er positiv.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig) . [Afsenderen er effektiv.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig) . [Afsenderen er dygtig.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig) . [Afsenderen er troværdig.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig) . [Afsenderen er venlig.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig) . [Afsenderen er selvsikker.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig) . [Afsenderen er oprigtig.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig) . [Afsenderen er intelligent.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig) . [Afsenderen er retfærdig.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig) . [Afsenderen er hårdtarbejdende.]","Hvad tror du Renés køn er ? ","Føler du at e-mailen er passende ?","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig). [Afsenderen er professionel.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig). [Afsenderen er hjælpsom.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig). [Afsenderen er positiv.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig). [Afsenderen er effektiv.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig). [Afsenderen er dygtig.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig). [Afsenderen er troværdig.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig). [Afsenderen er venlig.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig). [Afsenderen er selvsikker.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig). [Afsenderen er oprigtig.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig). [Afsenderen er intelligent.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig). [Afsenderen er retfærdig.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig). [Afsenderen er hårdtarbejdende.]","Hvad tror du Renés køn er? ","Føler du at e-mailen er passende?","Køn","Alder","Angiv dit højeste niveau af gennemført uddannelse:","Hvor ofte bruger du emojis i din hverdag?"
"2018/10/30 1:06:42 PM GMT+1","2","4","4","3","3","3","4","4","4","2","3","3","Mand","3","3","3","4","4","3","3","4","3","3","3","3","3","Mand","3","Kvinde","22","Gymnasium/Erhvervsuddannelse/HF","3"
"2018/10/31 11:54:55 AM GMT+1","4","4","5 (Meget enig)","4","4","4","5 (Meget enig)","5 (Meget enig)","4","4","3","4","Mand","3","4","4","4","4","4","4","4","4","4","4","3","4","Mand","3","Mand","23","Gymnasium/Erhvervsuddannelse/HF","4"
"2018/10/31 5:45:15 PM GMT+1","2","4","5 (Meget enig)","2","2","3","4","3","3","2","4","3","Mand","3","4","4","5 (Meget enig)","3","4","4","5 (Meget enig)","4","3","4","4","4","Kvinde","4","Kvinde","23","Bacheloruddannelse/Professionsbachelor","4"
"2018/10/31 9:24:29 PM GMT+1","2","4","5 (Meget enig)","2","3","3","5 (Meget enig)","4","4","3","4","2","Mand","3","4","5 (Meget enig)","5 (Meget enig)","4","4","4","5 (Meget enig)","4","4","4","4","5 (Meget enig)","Kvinde","4","Kvinde","24","Gymnasium/Erhvervsuddannelse/HF","5"
"2018/11/01 1:41:28 PM GMT+1","4","4","4","3","3","3","4","3","4","3","3","2","Mand","3","4","3","3","4","3","4","3","3","4","3","3","2","Mand","3","Kvinde","26","Bacheloruddannelse/Professionsbachelor","4"
"2018/11/01 2:17:25 PM GMT+1","3","4","5 (Meget enig)","4","4","4","5 (Meget enig)","5 (Meget enig)","4","4","5 (Meget enig)","3","Mand","4","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","Mand","5","Kvinde","23","Gymnasium/Erhvervsuddannelse/HF","2"
"2018/11/01 2:32:54 PM GMT+1","4","5 (Meget enig)","5 (Meget enig)","4","4","4","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","4","3","3","Mand","4","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","3","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","3","3","Mand","5","Mand","25","Gymnasium/Erhvervsuddannelse/HF","3"
"2018/11/01 3:45:26 PM GMT+1","3","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","4","3","5 (Meget enig)","3","4","2","3","3","Mand","3","4","5 (Meget enig)","5 (Meget enig)","4","4","4","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","3","3","Kvinde","5","Kvinde","22","Gymnasium/Erhvervsuddannelse/HF","4"
"2018/11/01 3:46:26 PM GMT+1","2","4","4","3","3","4","4","4","3","3","3","3","Mand","3","5 (Meget enig)","4","4","4","4","4","4","4","4","4","3","4","Mand","5","Kvinde","24","Kandidatgrad/Master","4"
"2018/11/01 3:58:52 PM GMT+1","2","4","4","4","1 (Meget uenig)","3","5 (Meget enig)","4","4","2","4","4","Mand","3","4","4","4","3","5 (Meget enig)","5 (Meget enig)","4","4","3","5 (Meget enig)","4","5 (Meget enig)","Mand","4","Kvinde","22","Gymnasium/Erhvervsuddannelse/HF","2"
"2018/11/01 4:23:14 PM GMT+1","2","5 (Meget enig)","4","3","3","2","4","4","3","3","3","3","Mand","3","5 (Meget enig)","4","4","4","5 (Meget enig)","4","4","3","3","4","3","3","Kvinde","5","Kvinde","20","Gymnasium/Erhvervsuddannelse/HF","3"
"2018/11/01 4:51:56 PM GMT+1","3","4","5 (Meget enig)","4","3","4","4","4","5 (Meget enig)","3","4","4","Mand","4","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","4","4","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","Mand","5","Mand","25","Gymnasium/Erhvervsuddannelse/HF","5"
"2018/11/01 5:00:03 PM GMT+1","3","3","4","4","4","4","4","3","4","4","4","3","Mand","3","5 (Meget enig)","4","3","4","4","4","4","4","4","4","4","4","Mand","4","Kvinde","22","Gymnasium/Erhvervsuddannelse/HF","5"
"2018/11/01 6:20:32 PM GMT+1","1 (Meget uenig)","4","3","2","2","2","3","4","3","2","3","2","Mand","2","5 (Meget enig)","4","4","4","5 (Meget enig)","4","3","4","4","5 (Meget enig)","4","4","Kvinde","3","Transkvinde","23","Gymnasium/Erhvervsuddannelse/HF","2"
"2018/11/01 6:21:43 PM GMT+1","1 (Meget uenig)","4","5 (Meget enig)","4","3","3","5 (Meget enig)","3","4","3","3","3","Mand","2","2","4","4","2","2","1 (Meget uenig)","4","2","2","3","3","3","Mand","1","Mand","30","Bacheloruddannelse/Professionsbachelor","3"
