"Timestamp","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig) . [Afsenderen er professionel.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig) . [Afsenderen er hjælpsom.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig) . [Afsenderen er positiv.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig) . [Afsenderen er effektiv.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig) . [Afsenderen er dygtig.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig) . [Afsenderen er troværdig.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig) . [Afsenderen er venlig.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig) . [Afsenderen er selvsikker.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig) . [Afsenderen er oprigtig.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig) . [Afsenderen er intelligent.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig) . [Afsenderen er retfærdig.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig) . [Afsenderen er hårdtarbejdende.]","Hvad tror du Renés køn er ? ","Føler du at e-mailen er passende ?","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig). [Afsenderen er professionel.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig). [Afsenderen er hjælpsom.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig). [Afsenderen er positiv.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig). [Afsenderen er effektiv.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig). [Afsenderen er dygtig.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig). [Afsenderen er troværdig.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig). [Afsenderen er venlig.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig). [Afsenderen er selvsikker.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig). [Afsenderen er oprigtig.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig). [Afsenderen er intelligent.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig). [Afsenderen er retfærdig.]","De følgende udsagn omhandler afsenderen af e-mailen, René. Angiv på skalaen hvor enig du er med de følgende sætninger. Skalaen går fra 1 (Meget uenig) til 5 (Meget enig). [Afsenderen er hårdtarbejdende.]","Hvad tror du Renés køn er? ","Føler du at e-mailen er passende?","Køn","Alder","Angiv dit højeste niveau af gennemført uddannelse:","Hvor ofte bruger du emojis i din hverdag?"
"2018/10/30 1:38:51 PM GMT+1","3","4","4","4","3","3","4","4","3","3","3","2","Mand","3","2","4","4","3","3","3","4","4","2","2","3","2","Mand","3","Kvinde","24","Folkeskolen/10. klasse/Efterskole","3"
"2018/10/30 3:04:26 PM GMT+1","3","5 (Meget enig)","5 (Meget enig)","3","3","4","5 (Meget enig)","4","4","3","4","4","Mand","4","5 (Meget enig)","4","5 (Meget enig)","4","5 (Meget enig)","5 (Meget enig)","4","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","4","5 (Meget enig)","Mand","5","Kvinde","26","Gymnasium/Erhvervsuddannelse/HF","4"
"2018/10/30 4:39:57 PM GMT+1","4","3","4","4","4","4","4","4","4","3","3","3","Mand","5","3","4","4","4","3","2","4","4","2","3","3","3","Mand","4","Mand","24","Bacheloruddannelse/Professionsbachelor","4"
"2018/10/30 4:47:20 PM GMT+1","4","4","5 (Meget enig)","3","3","3","4","4","5 (Meget enig)","3","3","3","Mand","5","5 (Meget enig)","4","3","3","3","5 (Meget enig)","3","2","2","2","2","2","Mand","5","Mand","24","Gymnasium/Erhvervsuddannelse/HF","4"
"2018/10/31 11:49:43 AM GMT+1","3","4","4","3","3","3","4","3","5 (Meget enig)","3","3","3","Mand","3","4","4","4","5 (Meget enig)","4","4","4","4","4","3","4","4","Kvinde","5","Kvinde","22","Gymnasium/Erhvervsuddannelse/HF","4"
"2018/10/31 12:05:28 PM GMT+1","2","4","5 (Meget enig)","4","4","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","4","4","4","3","Mand","4","5 (Meget enig)","4","4","4","4","5 (Meget enig)","4","4","4","4","4","4","Mand","4","Kvinde","22","Gymnasium/Erhvervsuddannelse/HF","4"
"2018/11/01 6:35:03 AM GMT+1","4","4","5 (Meget enig)","4","3","4","4","4","4","3","4","3","Mand","4","4","4","4","4","4","4","4","4","4","4","4","4","Mand","4","Mand","22","Gymnasium/Erhvervsuddannelse/HF","4"
"2018/11/01 1:49:17 PM GMT+1","1 (Meget uenig)","1 (Meget uenig)","1 (Meget uenig)","1 (Meget uenig)","1 (Meget uenig)","1 (Meget uenig)","1 (Meget uenig)","1 (Meget uenig)","1 (Meget uenig)","1 (Meget uenig)","1 (Meget uenig)","1 (Meget uenig)","Kvinde","1","1 (Meget uenig)","1 (Meget uenig)","1 (Meget uenig)","1 (Meget uenig)","1 (Meget uenig)","1 (Meget uenig)","1 (Meget uenig)","1 (Meget uenig)","1 (Meget uenig)","1 (Meget uenig)","1 (Meget uenig)","1 (Meget uenig)","Kvinde","1","Unicorn","34","Ph.d.","1"
"2018/11/01 2:05:07 PM GMT+1","2","4","5 (Meget enig)","3","3","3","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","4","4","3","Mand","3","4","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","4","5 (Meget enig)","5 (Meget enig)","4","4","4","4","Mand","4","Kvinde","27","Bacheloruddannelse/Professionsbachelor","2"
"2018/11/01 2:29:44 PM GMT+1","2","3","3","2","3","2","4","2","4","3","4","2","Mand","3","4","4","4","4","3","4","4","3","3","3","3","4","Mand","3","Kvinde","36","Bacheloruddannelse/Professionsbachelor","4"
"2018/11/01 3:15:00 PM GMT+1","2","4","4","3","3","3","4","4","4","3","3","2","Mand","3","4","4","4","4","3","4","4","4","4","4","3","3","Mand","4","Mand","21","Gymnasium/Erhvervsuddannelse/HF","4"
"2018/11/01 3:40:26 PM GMT+1","2","2","3","2","2","2","3","3","3","3","2","2","Mand","1","3","3","3","3","3","3","3","3","3","3","3","3","Mand","3","Kvinde","24 ","Bacheloruddannelse/Professionsbachelor","2"
"2018/11/01 3:50:42 PM GMT+1","4","4","4","4","4","4","4","3","4","3","4","4","Mand","4","5 (Meget enig)","4","4","4","5 (Meget enig)","5 (Meget enig)","4","4","4","5 (Meget enig)","4","4","Mand","4","Mand","26","Kandidatgrad/Master","2"
"2018/11/01 5:23:10 PM GMT+1","4","3","5 (Meget enig)","4","4","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","3","3","3","Mand","5","2","3","4","2","3","3","4","3","2","2","2","2","Mand","4","Mand","21","Gymnasium/Erhvervsuddannelse/HF","2"
"2018/11/01 5:30:17 PM GMT+1","3","2","4","4","3","3","4","3","4","3","5 (Meget enig)","3","Mand","4","4","3","4","4","4","4","4","3","4","3","4","3","Mand","4","Kvinde","23","Gymnasium/Erhvervsuddannelse/HF","2"
"2018/11/02 7:48:51 AM GMT+1","2","2","4","3","1 (Meget uenig)","2","1 (Meget uenig)","4","3","1 (Meget uenig)","3","1 (Meget uenig)","Mand","1","3","3","3","4","3","4","4","4","4","3","3","4","Kvinde","4","Kvinde","24","Bacheloruddannelse/Professionsbachelor","3"
