"Timestamp","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed . [A feladó szakszerű.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed . [A feladó segítőkész.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed . [A feladó pozitív.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed . [A feladó hatékony.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed . [A feladó ügyes.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed . [A feladó megbízható.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed . [A feladó kedves.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed . [A feladó magabiztos.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed . [A feladó őszinte.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed . [A feladó intelligens.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed . [A feladó becsületes.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed . [A feladó szorgalmas.]","Mit gondol, mi Remi neme ?","Mennyire tartja helyénvalónak az emailt ?","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed. [A feladó szakszerű.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed. [A feladó segítőkész.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed. [A feladó pozitív.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed. [A feladó hatékony.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed. [A feladó ügyes.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed. [A feladó megbízható.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed. [A feladó kedves.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed. [A feladó magabiztos.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed. [A feladó őszinte.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed. [A feladó intelligens.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed. [A feladó becsületes.]","Az alábbi állítások az email feladójára, Remire vonatkoznak. Kérem jelezze a skálán, hogy mennyire tartja igaznak őket. A skála egytől (egyáltalán nem értek egyet) ötig (teljes mértékben egyetértek) terjed. [A feladó szorgalmas.]","Mit gondol, mi Remi neme?","Mennyire tartja helyénvalónak az emailt?","Nem","Életkor","Legmagasabb befejezett iskolai végzettség","Milyen gyakran használ hangulatjeleket (mosolygós arc, szív, stb.) a mindennapi életben?"
"2018/10/30 1:13:26 PM GMT+1","3","5 (Teljes mértékben egyetértek)","4","4","3","3","5 (Teljes mértékben egyetértek)","4","4","3","4","4","Nő","2","5 (Teljes mértékben egyetértek)","4","4","5 (Teljes mértékben egyetértek)","4","4","4","5 (Teljes mértékben egyetértek)","4","5 (Teljes mértékben egyetértek)","4","4","Nő","5","Nő","43","Főiskolai vagy BA / BSc diploma","3"
"2018/10/30 2:08:11 PM GMT+1","3","5 (Teljes mértékben egyetértek)","4","4","2","2","3","4","3","3","2","3","Nő","4","5 (Teljes mértékben egyetértek)","4","4","3","3","2","3","5 (Teljes mértékben egyetértek)","4","4","3","3","Nő","5","Nő","22","Szakközépiskola / Gimnázium érettségi","4"
"2018/10/30 5:23:03 PM GMT+1","3","3","1 (Egyáltalán nem értek egyet)","3","2","3","4","2","3","2","2","2","Nő","2","4","5 (Teljes mértékben egyetértek)","4","4","4","5 (Teljes mértékben egyetértek)","4","5 (Teljes mértékben egyetértek)","4","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","4","Nő","5","Nő","20","Szakközépiskola / Gimnázium érettségi","4"
"2018/10/30 5:51:25 PM GMT+1","2","4","4","3","3","3","2","4","3","1 (Egyáltalán nem értek egyet)","2","2","Nő","2","4","4","4","4","4","4","4","4","4","4","4","4","Nő","4","Férfi","46","Főiskolai vagy BA / BSc diploma","4"
"2018/10/31 10:37:20 AM GMT+1","2","3","4","3","3","3","4","3","4","4","4","4","Nő","2","3","4","4","4","4","3","4","3","3","5 (Teljes mértékben egyetértek)","4","3","Nő","3","Férfi","22","Szakközépiskola / Gimnázium érettségi","4"
"2018/10/31 10:37:59 AM GMT+1","2","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","4","3","3","5 (Teljes mértékben egyetértek)","3","4","2","4","3","Nő","3","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","2","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","Nő","5","Nő","21","Szakközépiskola / Gimnázium érettségi","5"
"2018/10/31 11:04:56 AM GMT+1","3","4","3","3","2","3","4","1 (Egyáltalán nem értek egyet)","3","2","3","3","Nő","2","4","4","4","4","4","4","4","4","4","4","4","4","Férfi","5","Férfi","53","Egyetemi vagy MA / MSc diploma","2"
"2018/10/31 11:20:55 AM GMT+1","3","4","3","3","2","4","4","4","5 (Teljes mértékben egyetértek)","3","4","3","Férfi","3","5 (Teljes mértékben egyetértek)","4","3","4","3","4","4","3","2","4","4","4","Férfi","4","Nő","21","Főiskolai vagy BA / BSc diploma","5"
"2018/10/31 12:19:29 PM GMT+1","1 (Egyáltalán nem értek egyet)","4","4","3","2","1 (Egyáltalán nem értek egyet)","4","2","5 (Teljes mértékben egyetértek)","2","3","3","Nő","2","3","5 (Teljes mértékben egyetértek)","4","5 (Teljes mértékben egyetértek)","4","4","2","5 (Teljes mértékben egyetértek)","2","4","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","Nő","4","Nő","28","Főiskolai vagy BA / BSc diploma","3"
"2018/10/31 2:34:01 PM GMT+1","3","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","4","3","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","2","4","3","4","4","Nő","3","4","4","3","2","3","3","3","5 (Teljes mértékben egyetértek)","2","4","2","3","Nő","4","Nő","20","Szakközépiskola / Gimnázium érettségi","4"
"2018/11/01 3:58:00 PM GMT+1","1 (Egyáltalán nem értek egyet)","4","4","3","2","3","4","4","5 (Teljes mértékben egyetértek)","4","3","3","Férfi","2","5 (Teljes mértékben egyetértek)","4","4","3","4","4","5 (Teljes mértékben egyetértek)","4","4","4","3","3","Nő","4","Nő","21","Szakközépiskola / Gimnázium érettségi","4"
"2018/11/01 4:37:50 PM GMT+1","4","4","4","4","4","4","4","4","4","4","4","4","Férfi","3","3","3","3","3","3","3","3","3","3","3","3","3","Férfi","3","Nő","18","Szakközépiskola / Gimnázium érettségi","5"
"2018/11/01 4:38:32 PM GMT+1","1 (Egyáltalán nem értek egyet)","4","5 (Teljes mértékben egyetértek)","3","2","3","4","4","4","3","4","4","Nő","2","3","5 (Teljes mértékben egyetértek)","4","4","3","4","4","3","4","4","4","4","Nő","3","Nő","20","Szakközépiskola / Gimnázium érettségi","3"
"2018/11/01 6:26:49 PM GMT+1","3","4","4","4","3","3","3","4","3","2","4","4","Nő","3","5 (Teljes mértékben egyetértek)","4","4","4","4","5 (Teljes mértékben egyetértek)","4","5 (Teljes mértékben egyetértek)","4","5 (Teljes mértékben egyetértek)","4","5 (Teljes mértékben egyetértek)","Nő","4","Nő","21","Szakközépiskola / Gimnázium érettségi","5"
"2018/11/01 7:06:02 PM GMT+1","1 (Egyáltalán nem értek egyet)","3","3","1 (Egyáltalán nem értek egyet)","1 (Egyáltalán nem értek egyet)","2","4","2","4","2","4","2","Nő","1","4","4","3","4","4","4","3","5 (Teljes mértékben egyetértek)","5 (Teljes mértékben egyetértek)","4","4","3","Férfi","4","Nő","16","Általános iskola 8 osztály","1"
