"Timestamp","De.fÃ.lgende.udsagn.omhandler.afsenderen.af.e.mailen..RenÃ...Angiv.pÃ..skalaen.hvor.enig.du.er.med.de.fÃ.lgende.sÃ.tninger..Skalaen.gÃ.r.fra.1..Meget.uenig..til.5..Meget.enig.....Afsenderen.er.professionel..","De.fÃ.lgende.udsagn.omhandler.afsenderen.af.e.mailen..RenÃ...Angiv.pÃ..skalaen.hvor.enig.du.er.med.de.fÃ.lgende.sÃ.tninger..Skalaen.gÃ.r.fra.1..Meget.uenig..til.5..Meget.enig.....Afsenderen.er.hjÃ.lpsom..","De.fÃ.lgende.udsagn.omhandler.afsenderen.af.e.mailen..RenÃ...Angiv.pÃ..skalaen.hvor.enig.du.er.med.de.fÃ.lgende.sÃ.tninger..Skalaen.gÃ.r.fra.1..Meget.uenig..til.5..Meget.enig.....Afsenderen.er.positiv..","De.fÃ.lgende.udsagn.omhandler.afsenderen.af.e.mailen..RenÃ...Angiv.pÃ..skalaen.hvor.enig.du.er.med.de.fÃ.lgende.sÃ.tninger..Skalaen.gÃ.r.fra.1..Meget.uenig..til.5..Meget.enig.....Afsenderen.er.effektiv..","De.fÃ.lgende.udsagn.omhandler.afsenderen.af.e.mailen..RenÃ...Angiv.pÃ..skalaen.hvor.enig.du.er.med.de.fÃ.lgende.sÃ.tninger..Skalaen.gÃ.r.fra.1..Meget.uenig..til.5..Meget.enig.....Afsenderen.er.dygtig..","De.fÃ.lgende.udsagn.omhandler.afsenderen.af.e.mailen..RenÃ...Angiv.pÃ..skalaen.hvor.enig.du.er.med.de.fÃ.lgende.sÃ.tninger..Skalaen.gÃ.r.fra.1..Meget.uenig..til.5..Meget.enig.....Afsenderen.er.trovÃ.rdig..","De.fÃ.lgende.udsagn.omhandler.afsenderen.af.e.mailen..RenÃ...Angiv.pÃ..skalaen.hvor.enig.du.er.med.de.fÃ.lgende.sÃ.tninger..Skalaen.gÃ.r.fra.1..Meget.uenig..til.5..Meget.enig.....Afsenderen.er.venlig..","De.fÃ.lgende.udsagn.omhandler.afsenderen.af.e.mailen..RenÃ...Angiv.pÃ..skalaen.hvor.enig.du.er.med.de.fÃ.lgende.sÃ.tninger..Skalaen.gÃ.r.fra.1..Meget.uenig..til.5..Meget.enig.....Afsenderen.er.selvsikker..","De.fÃ.lgende.udsagn.omhandler.afsenderen.af.e.mailen..RenÃ...Angiv.pÃ..skalaen.hvor.enig.du.er.med.de.fÃ.lgende.sÃ.tninger..Skalaen.gÃ.r.fra.1..Meget.uenig..til.5..Meget.enig.....Afsenderen.er.oprigtig..","De.fÃ.lgende.udsagn.omhandler.afsenderen.af.e.mailen..RenÃ...Angiv.pÃ..skalaen.hvor.enig.du.er.med.de.fÃ.lgende.sÃ.tninger..Skalaen.gÃ.r.fra.1..Meget.uenig..til.5..Meget.enig.....Afsenderen.er.intelligent..","De.fÃ.lgende.udsagn.omhandler.afsenderen.af.e.mailen..RenÃ...Angiv.pÃ..skalaen.hvor.enig.du.er.med.de.fÃ.lgende.sÃ.tninger..Skalaen.gÃ.r.fra.1..Meget.uenig..til.5..Meget.enig.....Afsenderen.er.retfÃ.rdig..","De.fÃ.lgende.udsagn.omhandler.afsenderen.af.e.mailen..RenÃ...Angiv.pÃ..skalaen.hvor.enig.du.er.med.de.fÃ.lgende.sÃ.tninger..Skalaen.gÃ.r.fra.1..Meget.uenig..til.5..Meget.enig.....Afsenderen.er.hÃ.rdtarbejdende..","Hvad.tror.du.RenÃ.s.kÃ.n.er...","FÃ.ler.du.at.e.mailen.er.passende..","De.fÃ.lgende.udsagn.omhandler.afsenderen.af.e.mailen..RenÃ...Angiv.pÃ..skalaen.hvor.enig.du.er.med.de.fÃ.lgende.sÃ.tninger..Skalaen.gÃ.r.fra.1..Meget.uenig..til.5..Meget.enig....Afsenderen.er.professionel..","De.fÃ.lgende.udsagn.omhandler.afsenderen.af.e.mailen..RenÃ...Angiv.pÃ..skalaen.hvor.enig.du.er.med.de.fÃ.lgende.sÃ.tninger..Skalaen.gÃ.r.fra.1..Meget.uenig..til.5..Meget.enig....Afsenderen.er.hjÃ.lpsom..","De.fÃ.lgende.udsagn.omhandler.afsenderen.af.e.mailen..RenÃ...Angiv.pÃ..skalaen.hvor.enig.du.er.med.de.fÃ.lgende.sÃ.tninger..Skalaen.gÃ.r.fra.1..Meget.uenig..til.5..Meget.enig....Afsenderen.er.positiv..","De.fÃ.lgende.udsagn.omhandler.afsenderen.af.e.mailen..RenÃ...Angiv.pÃ..skalaen.hvor.enig.du.er.med.de.fÃ.lgende.sÃ.tninger..Skalaen.gÃ.r.fra.1..Meget.uenig..til.5..Meget.enig....Afsenderen.er.effektiv..","De.fÃ.lgende.udsagn.omhandler.afsenderen.af.e.mailen..RenÃ...Angiv.pÃ..skalaen.hvor.enig.du.er.med.de.fÃ.lgende.sÃ.tninger..Skalaen.gÃ.r.fra.1..Meget.uenig..til.5..Meget.enig....Afsenderen.er.dygtig..","De.fÃ.lgende.udsagn.omhandler.afsenderen.af.e.mailen..RenÃ...Angiv.pÃ..skalaen.hvor.enig.du.er.med.de.fÃ.lgende.sÃ.tninger..Skalaen.gÃ.r.fra.1..Meget.uenig..til.5..Meget.enig....Afsenderen.er.trovÃ.rdig..","De.fÃ.lgende.udsagn.omhandler.afsenderen.af.e.mailen..RenÃ...Angiv.pÃ..skalaen.hvor.enig.du.er.med.de.fÃ.lgende.sÃ.tninger..Skalaen.gÃ.r.fra.1..Meget.uenig..til.5..Meget.enig....Afsenderen.er.venlig..","De.fÃ.lgende.udsagn.omhandler.afsenderen.af.e.mailen..RenÃ...Angiv.pÃ..skalaen.hvor.enig.du.er.med.de.fÃ.lgende.sÃ.tninger..Skalaen.gÃ.r.fra.1..Meget.uenig..til.5..Meget.enig....Afsenderen.er.selvsikker..","De.fÃ.lgende.udsagn.omhandler.afsenderen.af.e.mailen..RenÃ...Angiv.pÃ..skalaen.hvor.enig.du.er.med.de.fÃ.lgende.sÃ.tninger..Skalaen.gÃ.r.fra.1..Meget.uenig..til.5..Meget.enig....Afsenderen.er.oprigtig..","De.fÃ.lgende.udsagn.omhandler.afsenderen.af.e.mailen..RenÃ...Angiv.pÃ..skalaen.hvor.enig.du.er.med.de.fÃ.lgende.sÃ.tninger..Skalaen.gÃ.r.fra.1..Meget.uenig..til.5..Meget.enig....Afsenderen.er.intelligent..","De.fÃ.lgende.udsagn.omhandler.afsenderen.af.e.mailen..RenÃ...Angiv.pÃ..skalaen.hvor.enig.du.er.med.de.fÃ.lgende.sÃ.tninger..Skalaen.gÃ.r.fra.1..Meget.uenig..til.5..Meget.enig....Afsenderen.er.retfÃ.rdig..","De.fÃ.lgende.udsagn.omhandler.afsenderen.af.e.mailen..RenÃ...Angiv.pÃ..skalaen.hvor.enig.du.er.med.de.fÃ.lgende.sÃ.tninger..Skalaen.gÃ.r.fra.1..Meget.uenig..til.5..Meget.enig....Afsenderen.er.hÃ.rdtarbejdende..","Hvad.tror.du.RenÃ.s.kÃ.n.er..","FÃ.ler.du.at.e.mailen.er.passende.","KÃ.n","Alder","Angiv.dit.hÃ.jeste.niveau.af.gennemfÃ.rt.uddannelse.","Hvor.ofte.bruger.du.emojis.i.din.hverdag."
"2018/11/01 2:00:00 PM GMT+1","4","4","3","4","3","4","4","4","4","4","3","3","Mand",4,"5 (Meget enig)","4","4","4","4","5 (Meget enig)","4","4","4","5 (Meget enig)","4","4","Mand",5,"Kvinde",22,"Gymnasium/Erhvervsuddannelse/HF",2
"2018/11/01 2:01:58 PM GMT+1","4","4","5 (Meget enig)","4","3","4","5 (Meget enig)","3","3","3","3","3","Kvinde",4,"4","4","5 (Meget enig)","2","4","4","4","5 (Meget enig)","4","4","3","3","Mand",4,"Kvinde",27,"Bacheloruddannelse/Professionsbachelor",2
"2018/11/01 2:08:29 PM GMT+1","1 (Meget uenig)","1 (Meget uenig)","4","1 (Meget uenig)","1 (Meget uenig)","2","3","1 (Meget uenig)","5 (Meget enig)","2","3","4","Mand",1,"4","4","4","4","3","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","4","5 (Meget enig)","3","3","Mand",5,"Mand",24,"Gymnasium/Erhvervsuddannelse/HF",1
"2018/11/01 2:24:26 PM GMT+1","4","3","4","3","3","3","4","3","4","3","3","3","Kvinde",4,"3","3","4","3","3","3","4","5 (Meget enig)","4","3","3","3","Kvinde",3,"Mand",24,"Gymnasium/Erhvervsuddannelse/HF",2
"2018/11/01 2:32:35 PM GMT+1","4","4","4","4","3","4","4","4","4","3","3","3","Mand",5,"5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","3","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","3","3","3","Mand",4,"Kvinde",21,"Gymnasium/Erhvervsuddannelse/HF",2
"2018/11/01 2:34:37 PM GMT+1","3","3","4","4","3","4","4","4","4","3","4","3","Kvinde",3,"4","4","4","4","4","4","4","4","4","4","4","4","Mand",5,"Kvinde",22,"Gymnasium/Erhvervsuddannelse/HF",5
"2018/11/01 2:40:16 PM GMT+1","2","3","4","3","1 (Meget uenig)","2","4","3","4","1 (Meget uenig)","3","2","Mand",2,"5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","4","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","4","4","5 (Meget enig)","4","5 (Meget enig)","Mand",5,"Kvinde",21,"Gymnasium/Erhvervsuddannelse/HF",3
"2018/11/01 2:41:23 PM GMT+1","3","3","5 (Meget enig)","4","3","3","4","4","4","3","4","3","Mand",3,"5 (Meget enig)","4","4","3","4","4","4","4","3","5 (Meget enig)","3","5 (Meget enig)","Mand",5,"Kvinde",22,"Gymnasium/Erhvervsuddannelse/HF",2
"2018/11/01 2:43:54 PM GMT+1","4","5 (Meget enig)","5 (Meget enig)","4","3","4","5 (Meget enig)","3","4","3","2","3","Mand",4,"5 (Meget enig)","3","3","4","4","4","3","5 (Meget enig)","4","4","3","3","Mand",4,"Mand",25,"Gymnasium/Erhvervsuddannelse/HF",4
"2018/11/01 3:17:37 PM GMT+1","3","4","5 (Meget enig)","4","3","3","4","4","4","3","3","3","Mand",4,"4","4","5 (Meget enig)","3","5 (Meget enig)","4","5 (Meget enig)","3","2","3","2","4","Mand",3,"Mand",21,"Gymnasium/Erhvervsuddannelse/HF",4
"2018/11/01 3:38:17 PM GMT+1","4","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","4","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","4","5 (Meget enig)","3","Mand",4,"5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","4","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","4","5 (Meget enig)","4","Mand",4,"Kvinde",21,"Gymnasium/Erhvervsuddannelse/HF",5
"2018/11/01 3:44:48 PM GMT+1","1 (Meget uenig)","1 (Meget uenig)","3","2","1 (Meget uenig)","3","3","3","3","1 (Meget uenig)","3","1 (Meget uenig)","Mand",2,"4","5 (Meget enig)","4","4","3","4","4","3","3","3","5 (Meget enig)","3","Mand",4,"Mand",22,"Gymnasium/Erhvervsuddannelse/HF",4
"2018/11/01 3:54:17 PM GMT+1","1 (Meget uenig)","1 (Meget uenig)","2","2","1 (Meget uenig)","2","3","2","2","1 (Meget uenig)","2","1 (Meget uenig)","Mand",1,"5 (Meget enig)","2","5 (Meget enig)","4","4","5 (Meget enig)","5 (Meget enig)","3","3","3","3","3","Mand",4,"Kvinde",30,"Gymnasium/Erhvervsuddannelse/HF",4
"2018/11/01 5:00:29 PM GMT+1","3","4","4","4","3","4","4","3","4","3","3","3","Mand",5,"5 (Meget enig)","4","3","2","3","4","3","4","3","4","4","4","Mand",4,"Kvinde",21,"Gymnasium/Erhvervsuddannelse/HF",4
"2018/11/01 5:07:40 PM GMT+1","2","3","3","3","3","2","3","2","3","2","2","2","Mand",2,"3","3","3","3","3","3","3","3","3","3","3","3","Mand",4,"Kvinde",21,"Gymnasium/Erhvervsuddannelse/HF",3
"2018/11/01 6:23:49 PM GMT+1","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","4","3","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","Kvinde",5,"4","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","Kvinde",5,"Kvinde",23,"Folkeskolen/10. klasse/Efterskole",2
"2018/11/01 7:07:05 PM GMT+1","1 (Meget uenig)","3","3","3","2","1 (Meget uenig)","2","4","2","2","1 (Meget uenig)","1 (Meget uenig)","Mand",1,"5 (Meget enig)","4","5 (Meget enig)","3","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","Mand",5,"Mand",19,"Gymnasium/Erhvervsuddannelse/HF",1
"2018/11/01 7:26:08 PM GMT+1","2","3","4","3","2","3","4","3","3","3","4","3","Mand",3,"4","4","3","3","4","4","4","3","3","3","3","3","Mand",4,"Mand",47,"Bacheloruddannelse/Professionsbachelor",2
"2018/11/01 10:29:42 PM GMT+1","4","4","4","5 (Meget enig)","3","4","3","4","4","3","3","3","Mand",5,"5 (Meget enig)","4","4","5 (Meget enig)","4","5 (Meget enig)","4","4","3","4","3","3","Mand",4,"Mand",23,"Gymnasium/Erhvervsuddannelse/HF",3
"2018/11/02 7:02:38 AM GMT+1","1 (Meget uenig)","2","2","2","1 (Meget uenig)","1 (Meget uenig)","2","2","2","1 (Meget uenig)","2","1 (Meget uenig)","Mand",1,"2","2","2","2","2","1 (Meget uenig)","2","2","1 (Meget uenig)","2","2","2","Mand",4,"Kvinde",32,"Bacheloruddannelse/Professionsbachelor",5
"2018/11/02 12:36:19 PM GMT+1","2","5 (Meget enig)","5 (Meget enig)","4","4","2","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","3","3","3","Mand",1,"3","4","4","2","3","5 (Meget enig)","4","5 (Meget enig)","4","4","3","3","Kvinde",1,"Kvinde",35,"Kandidatgrad/Master",2
"2018/11/02 11:02:14 PM GMT+1","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","3","3","4","3","3","3","3","3","Mand",4,"5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","5 (Meget enig)","4","3","4","3","3","3","3","3","Mand",5,"Kvinde",25,"Gymnasium/Erhvervsuddannelse/HF",3
"2018/11/02 11:13:06 PM GMT+1","3","3","5 (Meget enig)","3","3","3","5 (Meget enig)","3","4","3","3","3","Mand",3,"5 (Meget enig)","3","4","4","4","4","4","4","4","5 (Meget enig)","3","3","Mand",4,"Mand",28,"Bacheloruddannelse/Professionsbachelor",3
"2018/11/07 7:43:18 PM GMT+1","2","5 (Meget enig)","4","3","2","4","4","3","3","2","3","2","Mand",2,"5 (Meget enig)","4","4","5 (Meget enig)","4","4","4","4","4","4","4","4","Mand",5,"Mand",23,"Gymnasium/Erhvervsuddannelse/HF",5
